"dem","gop","other","undecided","n_resp","n_side","n_dem","pollster","firm.id","date","type","week"
0.42,0.39,0.01,0.17,1273,1031,535,"YouGov/Economist",16,2018-05-01,"RV",27
0.43,0.37,0.04,0.15,1337,1070,575,"Ipsos/Reuters",6,2018-05-01,"RV",27
0.49,0.41,0.02,0.08,681,613,334,"Monmouth University",9,2018-04-30,"RV",27
0.43,0.38,0.02,0.18,1270,1029,546,"YouGov/Economist",16,2018-04-24,"RV",28
0.45,0.34,0.04,0.18,1248,986,562,"Ipsos/Reuters",6,2018-04-24,"RV",28
0.43,0.38,0.02,0.17,1274,1032,548,"YouGov/Economist",16,2018-04-17,"RV",29
0.44,0.34,0.04,0.17,1238,966,545,"Ipsos/Reuters",6,2018-04-17,"RV",29
0.44,0.39,0.08,0.09,827,686,364,"NPR/PBS NewsHour/Marist",11,2018-04-13,"RV",29
0.47,0.43,0.01,0.08,865,778,407,"ABC/Post",1,2018-04-11,"RV",29
0.44,0.36,0.02,0.18,1292,1034,568,"YouGov/Economist",16,2018-04-10,"RV",30
0.38,0.3,0.05,0.28,1219,829,463,"Ipsos/Reuters",6,2018-04-10,"RV",30
0.43,0.36,0.02,0.19,1246,984,536,"YouGov/Economist",16,2018-04-03,"RV",31
0.43,0.34,0.05,0.18,1519,1170,653,"Ipsos/Reuters",6,2018-04-03,"RV",31
0.42,0.35,0.03,0.2,1330,1024,559,"YouGov/Economist",16,2018-03-27,"RV",32
0.42,0.35,0.04,0.18,1337,1029,562,"Ipsos/Reuters",6,2018-03-27,"RV",32
0.5,0.44,0.02,0.05,913,858,456,"CNN",2,2018-03-25,"RV",32
0.46,0.41,0.03,0.1,1914,1665,880,"FOX",3,2018-03-21,"RV",32
0.44,0.38,0.02,0.16,1284,1053,565,"YouGov/Economist",16,2018-03-20,"RV",33
0.4,0.37,0.05,0.17,1337,1029,535,"Ipsos/Reuters",6,2018-03-20,"RV",33
0.43,0.38,0.02,0.16,1291,1046,555,"YouGov/Economist",16,2018-03-13,"RV",34
0.38,0.3,0.05,0.28,1411,959,536,"Ipsos/Reuters",6,2018-03-13,"Adults",34
0.43,0.37,0.02,0.18,1310,1048,563,"YouGov/Economist",16,2018-03-06,"RV",35
0.38,0.31,0.04,0.26,2927,2020,1112,"Ipsos/Reuters",6,2018-03-06,"Adults",35
0.5,0.41,0.03,0.08,708,644,354,"Monmouth University",9,2018-03-05,"RV",35
